timestamp_x,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp,time,timestamp_y,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop
1760822961,-1.51313544921875,0.9983820922851562,-9.53131680908203,-2.778625954198473,-1.1297709923664123,0.9618320610687024,28.15352941176471,0,1760723392.0,3402.74919 N,08407.11262 W,303.6,8.0,0.98,0.135,1.84,0.98
1760822962,-1.381454357910156,1.0079588989257813,-9.478644372558591,-2.786259541984733,-0.8320610687022901,0.9618320610687024,28.059411764705885,1,1760723393.0,3402.74912 N,08407.11273 W,303.7,8.0,0.98,0.323,1.84,0.98
1760822963,-1.419761584472656,0.97683427734375,-9.363722692871091,-2.8931297709923665,-0.8473282442748091,1.1297709923664123,28.106470588235297,2,1760723394.0,3402.74894 N,08407.11260 W,303.7,8.0,0.98,1.334,1.84,0.98
1760822964,-1.4125789794921877,1.0606313354492187,-9.483432775878908,-2.3740458015267176,-0.5648854961832062,1.2061068702290076,28.106470588235297,3,1760723395.0,3402.74911 N,08407.11245 W,303.8,8.0,0.98,1.45,1.84,0.98
1760822965,-1.5011644409179687,1.0127473022460938,-9.481038574218749,-2.9618320610687023,-0.8854961832061069,1.083969465648855,28.106470588235297,4,1760723396.0,3402.74935 N,08407.11238 W,303.8,8.0,0.98,2.326,1.84,0.98
1760822966,-1.2282254516601565,0.9935936889648436,-9.519345800781249,-2.9236641221374047,-0.931297709923664,1.213740458015267,28.15352941176471,5,1760723397.0,3402.74961 N,08407.11229 W,303.8,8.0,0.98,2.371,1.84,0.98
1760822967,-1.4030021728515625,1.0127473022460938,-9.402029919433591,-2.870229007633588,-0.8473282442748091,1.0229007633587786,28.15352941176471,6,1760723398.0,3402.74981 N,08407.11299 W,303.7,8.0,0.98,3.737,1.84,0.98
1760822968,-1.407790576171875,0.995987890625,-9.51216319580078,-2.9083969465648853,-0.6641221374045801,1.068702290076336,28.15352941176471,7,1760723399.0,3402.75007 N,08407.11364 W,303.3,8.0,0.98,3.704,1.84,0.98
1760822969,-1.2856862915039062,0.9911994873046874,-9.572018237304688,-3.0381679389312977,-0.8473282442748091,1.0534351145038168,28.15352941176471,8,1760723400.0,3402.75018 N,08407.11387 W,303.0,8.0,0.98,0.318,1.84,0.98
1760822970,-1.4221557861328125,0.9935936889648436,-9.581595043945311,-3.0763358778625958,-0.931297709923664,1.015267175572519,28.15352941176471,9,1760723401.0,3402.75015 N,08407.11379 W,302.7,8.0,0.98,0.687,1.84,0.98
1760822971,-1.4125789794921877,0.9840168823242188,-9.533711010742186,-3.1297709923664123,-1.1603053435114503,1.1755725190839694,28.15352941176471,10,1760723402.0,3402.75007 N,08407.11357 W,303.2,8.0,0.98,0.045,1.84,0.98
1760822972,-1.388636962890625,0.9840168823242188,-9.457096557617186,-2.900763358778626,-0.8702290076335878,1.083969465648855,28.106470588235297,11,1760723403.0,3402.74984 N,08407.11341 W,303.2,8.0,0.98,0.925,1.84,0.98
1760822973,-1.4796166259765624,0.9528922607421876,-9.488221179199218,-2.572519083969466,-1.045801526717557,1.0,28.20058823529412,12,1760723404.0,3402.74960 N,08407.11315 W,303.3,8.0,0.98,0.868,1.84,0.98
1760822974,-1.3838485595703125,0.9696516723632812,-9.442731347656249,-2.931297709923664,-0.9465648854961832,1.0381679389312977,28.90647058823529,13,1760723405.0,3402.74966 N,08407.11298 W,303.3,7.0,1.01,0.308,1.84,0.98
1760822975,-1.335964526367187,1.0079588989257813,-9.528922607421874,-2.946564885496183,-0.8396946564885496,1.083969465648855,28.20058823529412,14,1760723406.0,3402.75020 N,08407.11291 W,303.3,7.0,1.01,1.828,2.06,1.01
1760822976,-1.3862427612304686,1.05344873046875,-9.521740002441408,-3.053435114503817,-1.1068702290076335,0.900763358778626,28.15352941176471,15,1760723407.0,3402.75081 N,08407.11350 W,303.4,7.0,1.01,3.754,2.06,1.01
1760822977,-1.24498486328125,0.9313444458007812,-9.593566052246093,-2.9083969465648853,-1.4427480916030535,1.1908396946564883,28.24764705882353,16,1760723408.0,3402.75109 N,08407.11322 W,303.3,7.0,1.01,2.179,2.06,1.01
1760822978,-1.3670891479492189,0.9816226806640624,-9.533711010742186,-2.992366412213741,-0.9847328244274808,1.1221374045801529,28.20058823529412,17,1760723409.0,3402.75111 N,08407.11312 W,303.4,7.0,1.01,1.68,2.06,1.01
1760822979,-1.2330138549804688,1.0127473022460938,-9.49300958251953,-3.206106870229008,-1.1984732824427482,1.0916030534351144,28.15352941176471,18,1760723410.0,3402.75074 N,08407.11269 W,303.4,7.0,1.01,0.358,2.06,1.01
1760822980,-1.3718775512695311,0.8858546142578124,-9.526528405761718,-2.870229007633588,-0.8702290076335878,1.0534351145038168,28.15352941176471,19,1760723411.0,3402.75060 N,08407.11283 W,303.4,7.0,1.01,1.119,2.06,1.01
1760822981,-1.3455413330078123,0.9792284790039062,-9.536105212402344,-2.938931297709924,-0.9847328244274808,1.0305343511450382,27.494705882352942,20,1760723412.0,3402.75047 N,08407.11307 W,303.6,7.0,1.01,1.559,2.06,1.01
1760822982,-1.3407529296874998,0.9552864624023436,-9.557653027343749,-2.687022900763359,-0.732824427480916,1.2595419847328244,28.15352941176471,21,1760723413.0,3402.75019 N,08407.11302 W,303.7,8.0,0.98,1.356,2.06,1.01
1760822983,-1.2593500732421874,1.0199299072265624,-9.481038574218749,-2.8473282442748094,-0.7786259541984732,1.099236641221374,28.953529411764706,22,1760723414.0,3402.75015 N,08407.11311 W,303.7,8.0,0.98,1.762,1.84,0.98
1760822984,-1.3096283081054687,1.0319009155273438,-9.797073193359374,-3.381679389312977,-1.5419847328244274,1.2213740458015268,27.494705882352942,23,1760723415.0,3402.75010 N,08407.11292 W,303.7,8.0,0.98,0.992,1.84,0.98
1760822985,-1.37906015625,1.0103531005859374,-9.514557397460935,-2.801526717557252,-0.8625954198473282,0.9541984732824428,27.494705882352942,24,1760723416.0,3402.74994 N,08407.11268 W,303.8,8.0,0.98,0.804,1.84,0.98
1760822986,-1.3670891479492189,0.9576806640625,-9.629479077148437,-2.8473282442748094,-0.7404580152671756,1.1984732824427482,28.90647058823529,25,1760723417.0,3402.75002 N,08407.11267 W,303.9,8.0,0.98,0.984,1.84,0.98
1760822987,-1.3718775512695311,0.9241618408203124,-9.466673364257812,-2.8931297709923665,-0.9618320610687024,1.1145038167938932,28.953529411764706,26,1760723418.0,3402.75009 N,08407.11250 W,303.9,8.0,0.98,0.276,1.84,0.98
1760822988,-1.3742717529296875,1.0223241088867188,-9.404424121093747,-2.5572519083969465,-0.7786259541984732,1.2213740458015268,28.953529411764706,27,1760723419.0,3402.75012 N,08407.11231 W,304.1,8.0,0.98,0.37,1.84,0.98
1760822989,-1.37906015625,0.948103857421875,-9.485826977539062,-3.3969465648854964,-1.3587786259541983,1.015267175572519,28.15352941176471,28,1760723420.0,3402.75027 N,08407.11253 W,304.4,8.0,0.98,0.264,1.84,0.98
1760822990,-1.3718775512695311,0.8116343627929687,-9.593566052246093,-2.900763358778626,-1.0,1.015267175572519,28.15352941176471,29,1760723421.0,3402.75023 N,08407.11241 W,304.5,8.0,0.98,0.606,1.84,0.98
1760822991,-1.3431471313476562,0.9433154541015624,-9.478644372558591,-2.4580152671755724,-0.6870229007633588,0.8549618320610687,27.494705882352942,30,1760723422.0,3402.75029 N,08407.11231 W,304.5,8.0,0.98,0.04,1.84,0.98
1760822992,-1.5107412475585935,0.7781155395507812,-9.564835632324218,-3.053435114503817,-0.9541984732824428,1.1145038167938932,28.15352941176471,31,1760723423.0,3402.75021 N,08407.11219 W,304.6,8.0,0.98,0.201,1.84,0.98
1760822993,-1.3575123413085937,0.9816226806640624,-9.349357482910156,-2.801526717557252,-0.8931297709923665,0.9618320610687024,27.494705882352942,32,1760723424.0,3402.75025 N,08407.11237 W,304.7,8.0,0.98,0.894,1.84,0.98
1760822994,-1.3646949462890623,0.9792284790039062,-9.507374792480467,-3.0763358778625958,-0.9541984732824428,1.0,28.24764705882353,33,1760723425.0,3402.75029 N,08407.11279 W,304.7,8.0,0.98,1.955,1.84,0.98
