timestamp,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp

1762114853,3403.39102 N,08407.88684 W,315.4,08,1.02,0.096,1.85,1.02,-0.7541735229492187,-0.11013327636718749,-8.188169677734374,16.3206106870229,-26.740458015267176,-37.57251908396947,19.588823529411766
1762114854,3403.39102 N,08407.88684 W,315.4,08,1.02,0.096,1.85,1.02,-1.9009961181640624,-0.11731588134765625,-11.604695446777344,37.61068702290076,-4.809160305343512,-16.938931297709924,19.588823529411766
1762114855,3403.39102 N,08407.88684 W,315.4,08,1.02,0.096,1.85,1.02,-0.40940848388671874,0.39743747558593745,-8.623914379882812,-13.34351145038168,15.748091603053435,10.030534351145038,19.635882352941177
1762114856,3403.39102 N,08407.88684 W,315.4,08,1.02,0.096,1.85,1.02,-0.4477157104492187,-1.9201497314453124,-8.724470849609375,-10.374045801526718,-10.106870229007633,27.908396946564885,19.635882352941177
1762114857,3403.39102 N,08407.88684 W,315.4,08,1.02,0.100,1.85,1.02,-3.4548329956054684,0.13407529296874998,-9.926360083007811,11.312977099236642,3.4656488549618323,7.1603053435114505,19.635882352941177
1762114858,3403.39102 N,08407.88684 W,315.4,08,1.02,0.100,1.85,1.02,-0.4525041137695312,0.3184288208007812,-10.338162768554687,-9.259541984732824,22.045801526717558,0.35877862595419846,19.635882352941177
1762114859,3403.39101 N,08407.88681 W,315.4,08,1.02,0.100,1.85,1.02,-0.2537853759765625,-1.407790576171875,-7.651868505859374,-12.244274809160306,-24.435114503816795,-34.64885496183206,19.68294117647059
1762114860,3403.39101 N,08407.88681 W,315.4,08,1.02,0.100,1.85,1.02,-1.7788918334960937,-4.000710974121094,-11.449072338867186,18.290076335877863,-42.58015267175573,-63.85496183206107,19.73
1762114861,3403.39101 N,08407.88681 W,315.4,08,1.02,0.100,1.85,1.02,-1.0678139404296874,0.05746083984375,-11.247959399414063,-16.076335877862597,-1.816793893129771,-4.106870229007634,19.588823529411766
1762114862,3403.39101 N,08407.88681 W,315.4,08,1.02,0.100,1.85,1.02,0.0526724365234375,-0.7852981445312499,-8.367734802246094,-12.198473282442748,-14.801526717557252,43.35114503816794,19.777058823529412
1762114863,3403.39101 N,08407.88681 W,315.4,08,1.02,0.100,1.85,1.02,-3.0214824951171875,-2.3678654418945313,-10.20169327392578,-12.938931297709924,13.427480916030534,28.412213740458014,19.777058823529412
1762114864,3403.39101 N,08407.88681 W,315.4,08,1.02,0.100,1.85,1.02,-0.24660277099609373,-0.8834604125976562,-11.176133349609374,-13.86259541984733,8.534351145038167,9.17557251908397,19.68294117647059
1762114865,3403.39101 N,08407.88681 W,315.4,08,1.02,0.080,1.85,1.02,0.3687070556640625,-0.08140285644531249,-9.334992272949219,-12.358778625954198,-28.083969465648856,-16.977099236641223,19.588823529411766
