timestamp,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
1762111860,,,,,,,,,-3.3016040893554686,0.6919242797851562,-10.28549033203125,49.10687022900763,-17.931297709923665,17.549618320610687,24.294705882352943
1762111861,,,,,,,,,-0.7781155395507812,-1.7908628417968748,-10.16338604736328,20.47328244274809,18.137404580152673,36.93129770992366,24.577058823529413
1762111862,,,,,,,,,-1.9895815795898437,0.4213794921875,-9.10993731689453,13.15267175572519,-16.49618320610687,-3.0839694656488548,24.624117647058824
1762111863,,,,,,,,,-2.080561242675781,0.25139117431640623,-8.769960681152343,-10.580152671755725,-10.030534351145038,-1.5267175572519085,24.624117647058824
1762111864,,,,,,,,,-4.264073156738281,-0.967257470703125,-9.241618408203124,-19.099236641221374,-29.72519083969466,-1.6412213740458015,24.76529411764706
1762111865,,,,,,1.554,,,-2.195482922363281,4.237736938476562,-14.015656518554687,-109.70229007633588,31.977099236641223,107.26717557251908,24.671176470588236
1762111866,,,,,,1.554,,,-0.1580173095703125,1.9488801513671874,-7.963114721679687,-23.12213740458015,20.14503816793893,13.320610687022901,24.76529411764706
1762111867,3402.74388 N,08407.12441 W,315.1,04,2.52,1.554,,,0.20350714111328125,-2.4899697265625,-6.524199523925781,32.69465648854962,-19.801526717557252,-58.48854961832061,24.76529411764706
1762111868,3402.74388 N,08407.12441 W,315.1,04,2.52,1.554,2.72,2.52,0.055066638183593745,2.7437551025390623,-9.236830004882812,-2.381679389312977,-0.6717557251908397,-0.7480916030534351,24.76529411764706
1762111869,3402.74388 N,08407.12441 W,315.1,04,2.52,1.554,2.72,2.52,-0.3447650390625,2.0470424194335934,-9.481038574218749,-3.648854961832061,-0.7786259541984732,-1.1068702290076335,24.76529411764706
1762111870,3402.74388 N,08407.12441 W,315.1,04,2.52,1.554,2.72,2.52,-0.4213794921875,1.8531120849609375,-9.696516723632811,-1.900763358778626,-0.5877862595419847,1.9236641221374047,24.859411764705882
1762111871,3402.74388 N,08407.12441 W,315.1,04,2.52,1.554,2.72,2.52,-0.24181436767578124,2.205059729003906,-9.009380847167968,-4.9541984732824424,-3.954198473282443,7.152671755725191,24.76529411764706
1762111872,3402.74388 N,08407.12441 W,315.1,04,2.52,1.554,2.72,2.52,-0.1484405029296875,2.1021090576171875,-9.662997900390625,-6.1679389312977095,-2.068702290076336,0.9847328244274809,24.859411764705882
1762111873,3402.74388 N,08407.12441 W,315.1,04,2.52,0.841,2.72,2.52,-0.2753331909179687,2.1835119140624997,-9.483432775878907,-2.9160305343511452,-0.9923664122137404,1.2442748091603053,24.81235294117647
