Epoch,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,0.9485,0.1474,0.977,0.0616
2,0.9742,0.066,0.9858,0.0386
3,0.98,0.0505,0.989,0.0323
4,0.9837,0.0425,0.9903,0.0273
5,0.9849,0.0415,0.9903,0.0264
6,0.9854,0.0381,0.9914,0.0254
7,0.986,0.0362,0.9917,0.0252
8,0.9863,0.0358,0.992,0.0231
9,0.9868,0.0344,0.9915,0.0241
10,0.987,0.0344,0.992,0.0252
