fold,accuracy,f1
1,0.9657320872274143,0.9650793650793651
2,0.968798751950078,0.9682539682539683
3,0.9812792511700468,0.9811912225705329
4,0.9641185647425897,0.9633173843700159
5,0.9750390015600624,0.9748427672955975
